tv_name,weekday,timeslot,number_of_tickets,Date
Luminor Arc 65,Friday,8-12,323,2025-11-28
StellarWave A9,Wednesday,8-12,2,2025-11-26
Luminor Arc 65,Monday,16-20,2,2025-11-24
StellarWave A9,Monday,0-8,1,2025-11-17
StellarWave A9,Tuesday,8-12,0,2025-11-11
StellarWave A9,Sunday,20-24,0,2025-11-09
Luminor Arc 65,Tuesday,8-12,274,2025-11-04
Luminor Arc 65,Sunday,0-8,0,2025-11-02
Luminor Arc 65,Monday,8-12,237,2025-10-27
StellarWave A9,Sunday,0-8,245,2025-10-26
StellarWave A9,Friday,8-12,1,2025-10-24
Luminor Arc 65,Sunday,8-12,0,2025-10-19
StellarWave A9,Saturday,8-12,237,2025-10-18
Luminor Arc 65,Saturday,20-24,1,2025-10-11
Luminor Arc 65,Saturday,16-20,1,2025-10-04
StellarWave A9,Saturday,20-24,0,2025-09-27
Luminor Arc 65,Monday,16-20,0,2025-09-22
StellarWave A9,Friday,8-12,0,2025-09-19
StellarWave A9,Saturday,16-20,0,2025-09-13
Luminor Arc 65,Saturday,8-12,2,2025-09-06
StellarWave A9,Monday,12-16,42,2025-09-01
StellarWave A9,Wednesday,12-16,81,2025-08-27
StellarWave A9,Monday,16-20,185,2025-08-25
Luminor Arc 65,Saturday,16-20,0,2025-08-23
StellarWave A9,Monday,20-24,241,2025-08-18
StellarWave A9,Saturday,20-24,0,2025-08-16
StellarWave A9,Thursday,8-12,1,2025-08-14
StellarWave A9,Thursday,20-24,277,2025-08-07
Luminor Arc 65,Thursday,0-8,1,2025-07-31
Luminor Arc 65,Thursday,12-16,272,2025-07-24
StellarWave A9,Saturday,8-12,195,2025-07-19
Luminor Arc 65,Tuesday,8-12,215,2025-07-15
StellarWave A9,Friday,20-24,267,2025-07-11
Luminor Arc 65,Tuesday,16-20,0,2025-07-08
Luminor Arc 65,Thursday,8-12,256,2025-07-03
StellarWave A9,Sunday,12-16,60,2025-06-29
StellarWave A9,Tuesday,12-16,75,2025-06-24
Luminor Arc 65,Wednesday,16-20,0,2025-06-18
Luminor Arc 65,Saturday,20-24,0,2025-06-14
Luminor Arc 65,Wednesday,16-20,2,2025-06-11
StellarWave A9,Wednesday,16-20,206,2025-06-04
Luminor Arc 65,Friday,20-24,1,2025-05-30
StellarWave A9,Friday,8-12,3,2025-05-23
Luminor Arc 65,Thursday,8-12,256,2025-05-22
Luminor Arc 65,Saturday,20-24,0,2025-05-17
StellarWave A9,Thursday,8-12,8,2025-05-15
StellarWave A9,Wednesday,16-20,220,2025-05-14
Luminor Arc 65,Friday,0-8,1,2025-05-09
Luminor Arc 65,Sunday,0-8,1,2025-05-04
Luminor Arc 65,Sunday,8-12,1,2025-04-27
StellarWave A9,Thursday,12-16,60,2025-04-24
Luminor Arc 65,Sunday,20-24,1,2025-04-20
Luminor Arc 65,Tuesday,20-24,0,2025-04-15
Luminor Arc 65,Saturday,8-12,0,2025-04-12
Luminor Arc 65,Sunday,20-24,0,2025-04-06
StellarWave A9,Sunday,12-16,70,2025-03-30
StellarWave A9,Wednesday,16-20,187,2025-03-26
Luminor Arc 65,Monday,0-8,2,2025-03-24
Luminor Arc 65,Sunday,16-20,0,2025-03-23
Luminor Arc 65,Monday,16-20,1,2025-03-17
StellarWave A9,Friday,8-12,13,2025-03-14
Luminor Arc 65,Thursday,12-16,292,2025-03-13
StellarWave A9,Monday,20-24,230,2025-03-10
Luminor Arc 65,Monday,12-16,228,2025-03-03
Luminor Arc 65,Sunday,12-16,0,2025-03-02
Luminor Arc 65,Thursday,12-16,255,2025-02-27
Luminor Arc 65,Sunday,20-24,0,2025-02-23
Luminor Arc 65,Monday,0-8,0,2025-02-17
StellarWave A9,Friday,0-8,0,2025-02-14
Luminor Arc 65,Friday,20-24,0,2025-02-07
Luminor Arc 65,Monday,8-12,228,2025-02-03
StellarWave A9,Sunday,12-16,80,2025-02-02
Luminor Arc 65,Monday,20-24,2,2025-01-27
Luminor Arc 65,Friday,16-20,2,2025-01-24
StellarWave A9,Thursday,8-12,2,2025-01-23
Luminor Arc 65,Thursday,16-20,0,2025-01-16
Luminor Arc 65,Thursday,20-24,0,2025-01-09
Luminor Arc 65,Sunday,0-8,4,2025-01-05
Luminor Arc 65,Monday,16-20,0,2024-12-30
Luminor Arc 65,Saturday,0-8,11,2024-12-28
Luminor Arc 65,Monday,12-16,203,2024-12-23
Luminor Arc 65,Tuesday,8-12,267,2024-12-17
StellarWave A9,Tuesday,8-12,2,2024-12-10
Luminor Arc 65,Monday,0-8,2,2024-12-09
Luminor Arc 65,Saturday,12-16,2,2024-12-07
StellarWave A9,Tuesday,20-24,260,2024-12-03
Luminor Arc 65,Friday,20-24,0,2024-11-29
Luminor Arc 65,Tuesday,0-8,0,2024-11-26
StellarWave A9,Sunday,8-12,229,2024-11-24
StellarWave A9,Tuesday,16-20,204,2024-11-19
StellarWave A9,Saturday,12-16,83,2024-11-16
Luminor Arc 65,Thursday,8-12,288,2024-11-14
StellarWave A9,Sunday,12-16,86,2024-11-10
Luminor Arc 65,Friday,0-8,5,2024-11-08
Luminor Arc 65,Wednesday,12-16,259,2024-11-06
StellarWave A9,Saturday,16-20,1,2024-11-02
StellarWave A9,Monday,8-12,0,2024-10-28
StellarWave A9,Sunday,12-16,60,2024-10-27
Luminor Arc 65,Tuesday,20-24,0,2024-10-22
StellarWave A9,Wednesday,16-20,192,2024-10-16
Luminor Arc 65,Tuesday,16-20,2,2024-10-15
StellarWave A9,Thursday,20-24,261,2024-10-10
Luminor Arc 65,Wednesday,16-20,2,2024-10-09
Luminor Arc 65,Monday,12-16,200,2024-10-07
Luminor Arc 65,Saturday,16-20,0,2024-10-05
StellarWave A9,Sunday,16-20,0,2024-09-29
Luminor Arc 65,Thursday,16-20,0,2024-09-26
StellarWave A9,Tuesday,16-20,181,2024-09-24
Luminor Arc 65,Monday,8-12,272,2024-09-23
StellarWave A9,Wednesday,8-12,2,2024-09-18
StellarWave A9,Tuesday,20-24,247,2024-09-17
StellarWave A9,Thursday,8-12,1,2024-09-12
Luminor Arc 65,Thursday,0-8,2,2024-09-05
StellarWave A9,Monday,0-8,0,2024-09-02
Luminor Arc 65,Thursday,20-24,2,2024-08-29
Luminor Arc 65,Wednesday,8-12,225,2024-08-28
Luminor Arc 65,Thursday,12-16,243,2024-08-22
StellarWave A9,Wednesday,8-12,0,2024-08-21
Luminor Arc 65,Tuesday,16-20,0,2024-08-20
StellarWave A9,Saturday,8-12,227,2024-08-17
StellarWave A9,Wednesday,20-24,258,2024-08-14
Luminor Arc 65,Tuesday,16-20,1,2024-08-13
StellarWave A9,Friday,16-20,215,2024-08-09
StellarWave A9,Sunday,0-8,287,2024-08-04
Luminor Arc 65,Wednesday,20-24,1,2024-07-31
StellarWave A9,Monday,20-24,251,2024-07-29
Luminor Arc 65,Thursday,8-12,291,2024-07-25
StellarWave A9,Wednesday,16-20,219,2024-07-24
Luminor Arc 65,Monday,8-12,240,2024-07-22
StellarWave A9,Tuesday,12-16,51,2024-07-16
Luminor Arc 65,Tuesday,12-16,232,2024-07-09
Luminor Arc 65,Friday,16-20,0,2024-07-05
StellarWave A9,Friday,16-20,242,2024-06-28
StellarWave A9,Sunday,8-12,215,2024-06-23
Luminor Arc 65,Wednesday,0-8,3,2024-06-19
StellarWave A9,Saturday,12-16,85,2024-06-15
StellarWave A9,Saturday,12-16,71,2024-06-08
Luminor Arc 65,Saturday,8-12,3,2024-06-01
Luminor Arc 65,Tuesday,16-20,2,2024-05-28
Luminor Arc 65,Thursday,12-16,234,2024-05-23
Luminor Arc 65,Monday,12-16,208,2024-05-20
Luminor Arc 65,Monday,0-8,0,2024-05-13
StellarWave A9,Monday,20-24,234,2024-05-06
Luminor Arc 65,Saturday,0-8,15,2024-05-04
Luminor Arc 65,Sunday,0-8,0,2024-04-28
Luminor Arc 65,Wednesday,0-8,2,2024-04-24
StellarWave A9,Sunday,8-12,226,2024-04-21
Luminor Arc 65,Monday,8-12,245,2024-04-15
StellarWave A9,Saturday,8-12,219,2024-04-13
StellarWave A9,Saturday,20-24,2,2024-04-06
Luminor Arc 65,Monday,8-12,268,2024-04-01
Luminor Arc 65,Sunday,12-16,0,2024-03-31
StellarWave A9,Tuesday,8-12,1,2024-03-26
Luminor Arc 65,Sunday,12-16,4,2024-03-24
StellarWave A9,Thursday,0-8,1,2024-03-21
StellarWave A9,Monday,8-12,0,2024-03-18
StellarWave A9,Tuesday,8-12,2,2024-03-12
Luminor Arc 65,Monday,0-8,0,2024-03-11
Luminor Arc 65,Tuesday,0-8,1,2024-03-05
Luminor Arc 65,Tuesday,16-20,2,2024-02-27
StellarWave A9,Wednesday,16-20,231,2024-02-21
StellarWave A9,Wednesday,12-16,72,2024-02-14
Luminor Arc 65,Wednesday,12-16,270,2024-02-07
StellarWave A9,Thursday,20-24,258,2024-02-01
Luminor Arc 65,Saturday,8-12,1,2024-01-27
Luminor Arc 65,Tuesday,20-24,0,2024-01-23
Luminor Arc 65,Tuesday,20-24,0,2024-01-16
StellarWave A9,Friday,20-24,262,2024-01-12
Luminor Arc 65,Sunday,8-12,1,2024-01-07
