"tv_name","ticket_title","ticket_class","ticket_text"
"StellarWave A9","A9 for sunlit loft � anti-glare performance","sales enquiry","My living room is basically a glass box. How does the A9 handle reflections in bright daylight and evening lamps without turning into a mirror?"
"StellarWave A9","Does A9 support 4K 144Hz for PC gaming","sales enquiry","I want this for my gaming rig. Can the A9 do 4K at 144Hz with VRR enabled and full chroma from a modern GPU?"
"StellarWave A9","Wall mount spacing and VESA pattern for A9","sales enquiry","I already have a wall mount installed. What VESA pattern and screw depth does the A9 require to be safely mounted?"
"StellarWave A9","Is there a matte screen option for A9","sales enquiry","Do you offer a matte or semi matte screen finish on the A9, or is it a glossy panel only?"
"StellarWave A9","Color accuracy out of box or calibrate needed","sales enquiry","I do photo editing on a connected PC. How accurate are the factory picture modes and is calibration strongly recommended?"
"StellarWave A9","How wide are the stand feet on A9","sales enquiry","My media cabinet is not very wide. What is the distance between the feet in the narrow and wide stand positions?"
"StellarWave A9","eARC passthrough for DTS and Atmos on A9","sales enquiry","I have a sound system that loves lossless. Will the A9 pass Dolby Atmos and DTS formats cleanly over eARC without downmixing?"
"StellarWave A9","Does A9 have native app for CrunchStream","sales enquiry","We watch CrunchStream every week. Is there a native app on the A9 or do I need a separate streaming stick?"
"StellarWave A9","Warranty length and coverage for panel burn","sales enquiry","What is the standard warranty duration, and does it cover panel burn, banding, or pixel defects out of the box?"
"StellarWave A9","Can A9 run on 220V in EU and US","sales enquiry","I split time between the US and Spain. Is the A9 dual voltage and safe to use on 110 and 220 without a transformer?"
"StellarWave A9","Energy usage in Eco mode for A9","sales enquiry","Trying to be mindful of power draw. Do you have typical wattage numbers for Eco mode versus Standard and HDR?"
"StellarWave A9","Is there a silver bezel version of A9","sales enquiry","Our decor is light and airy. Does the A9 come in a silver or white bezel variant, or only black?"
"StellarWave A9","When will 77 inch A9 be back in stock","sales enquiry","I have my heart set on the 77 inch model. Any estimate on restock dates so I can plan delivery and install?"
"StellarWave A9","Does A9 include a low-profile wall mount","sales enquiry","Does the package include a slim mount or is that a separate purchase, and what is the profile off the wall?"
"StellarWave A9","Trade-in promos for my old TV toward A9","sales enquiry","I have a functioning 55 inch set to trade. Are there any current trade in deals or loyalty discounts on the A9?"
"StellarWave A9","Input lag numbers for A9 game mode","sales enquiry","Competitive gaming needs fast response. What are the measured input lag figures for SDR and HDR in game mode?"
"StellarWave A9","Remote is solar or battery on A9","sales enquiry","Is the A9 remote rechargeable or solar assisted, or will I need to replace standard batteries every few months?"
"StellarWave A9","How many HDMI 2.1 ports on A9","sales enquiry","Between a console and a PC I need multiple 2.1 ports. How many full bandwidth HDMI 2.1 inputs are on the A9?"
"StellarWave A9","Can A9 pair with Bluetooth headphones","sales enquiry","Late night movies are a must. Can I pair two Bluetooth headphones at once for silent viewing without delay?"
"StellarWave A9","Shipping box dimensions of A9 65 for elevator","sales enquiry","Will the 65 inch A9 carton fit in a standard apartment elevator, and what are the boxed dimensions and weight?"
"StellarWave A9","Supports Dolby Vision Gaming on A9","sales enquiry","Does the A9 support Dolby Vision Gaming at 120Hz on consoles, and can I disable it per input if needed?"
